summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
5,116.6,2.8,0.41,2.2,0.26739726,1.56E-05,2388,5,20.6,0.096,0.058,12.307,-0.636,0.776,44.99,28.871
1,40,1,0.06,1,0,5.00E-06,2380,5,20.65,0.124,0.076,11.714,-0.256,0.637,37.93,20.575
2,42.5,1.5,0.54,2.5,0.5,1.11E-05,2523,6,19.632,0.143,0.077,10.562,-0.694,-0.109,42.723,18.314
3,52.33333333,3.333333333,1.735,1,0.233789954,1.25E-05,2919,7,17.074,0.106,0.041,10.621,-1.337,0.238,43.908,28.302
5,32.4,4.2,1.356,2.4,0.400547945,2.14E-05,2511,6,19.696,0.12,0.075,10.674,-0.866,0.223,39.94,31.067
3,42,1.333333333,0.3,1.666666667,0.365296804,1.50E-05,2648,6,18.814,0.112,0.061,9.265,-0.96,-0.244,50.107,21.347
4,42.25,1,1.67,2.5,0.135616438,7.09E-06,2178,5,22.141,0.127,0.058,9.761,-0.507,0.545,47.001,32.48
9,46,1.777777778,1.47,1.555555556,0.62435312,3.62E-05,2342,5,20.99,0.121,0.065,13.937,-0.63,0.335,46.667,24.47
3,51.66666667,3,0.96,1.666666667,0.699543379,1.04E-05,1809,4,24.925,0.137,0.085,15.061,-0.405,0.514,51.266,18.451
6,34.83333333,1.666666667,3.241666667,16,0.214611872,2.32E-05,2054,5,22.985,0.162,0.071,11.485,-0.242,0.32,46.196,20.808
9,51.55555556,13.55555556,1.16,4.555555556,0.256012177,4.09E-05,1773,4,25.258,0.154,0.09,12.281,-0.514,-0.259,56.826,26.918
13,136.6153846,2.230769231,0.623333333,2.153846154,0.480505796,1.95E-05,2497,6,19.767,0.102,0.058,12.751,-0.673,-0.104,57.715,16.659
25,82.16,1.04,2.198888889,3.48,0.378082192,0.000146694,2255,5,21.621,0.107,0.068,10.26,-0.738,0.549,45.892,34.433
14,65.21428571,2.214285714,1.83,2.928571429,0.579060665,5.12E-05,1908,4,24.108,0.128,0.075,14.295,-0.412,1.035,42.688,26.46
4,32.5,1.75,3.5475,2.5,0.434931507,2.22E-05,2226,5,21.83,0.137,0.089,17.419,-0.624,0.221,40.421,23.342
8,73,1.625,2.8425,1.875,0.624657534,1.82E-05,2352,5,20.903,0.118,0.075,18.942,-1.104,-0.108,43.829,31.5
2,110,1,0.665,2.5,0.712328767,9.28E-06,1779,4,25.172,0.128,0.072,20.958,0.284,-0.053,46.168,33.803
6,65,1.5,2.2175,1.333333333,0.579452055,3.12E-05,3052,7,16.12,0.1,0.054,12.394,-0.628,-0.279,36.046,31.752
2,85,1,4.48,2.5,0.610958904,7.58E-06,2655,6,18.739,0.128,0.072,16.229,-0.668,-0.316,39.864,21.486
6,72,7.5,1.29,4.5,0.384474886,2.23E-05,2127,5,22.448,0.142,0.076,14.864,-0.563,0.111,47.781,21.969
3,56.66666667,3,1.06,2.333333333,0.128767123,1.67E-05,3111,7,15.786,0.086,0.06,19.783,-0.782,-0.008,34.59,22.764
5,81.2,2.6,0.79,2.2,0.204931507,1.75E-05,1322,3,28.674,0.154,0.108,17.187,-0.39,0.735,51.409,22.336
5,36,1.8,0.863333333,1.6,0.244931507,1.97E-05,2949,7,16.862,0.094,0.046,15.943,-1.244,0.065,41.858,29.444
6,41,1.666666667,2.391666667,1.5,0.074429224,3.60E-05,1862,4,24.495,0.125,0.054,26.372,-0.686,0.696,48.212,30.989
14,86.92857143,1.285714286,2.458,2.857142857,0.273385519,8.34E-05,2217,5,21.854,0.128,0.065,15.014,-0.608,-0.146,54.914,19.941
2,60,2,0.49,1,0.002739726,8.66E-06,1204,3,29.677,0.163,0.091,15.302,-0.877,1.062,49.107,38.432
10,84.8,4.9,1.38625,1.2,0.323287671,4.68E-05,2773,6,18.16,0.097,0.058,18.776,-1.204,-0.021,38.624,35.531
17,66.76470588,2.176470588,2.936363636,10.58823529,0.40886382,0.000239327,2014,5,23.342,0.152,0.102,16.145,-0.319,0.136,34.65,32.484
22,43.68181818,2.545454545,1.560952381,12.36363636,0.336861768,7.62E-05,1280,3,28.948,0.167,0.094,20.905,-0.201,0.862,40.449,39.281
27,63.7037037,6.62962963,1.032173913,19.81481481,0.351902588,0.000278898,2190,5,22.065,0.129,0.07,11.402,-0.816,0.844,40.339,31.439
22,56.22727273,4.227272727,1.218,10.13636364,0.28007472,0.000174122,1542,4,26.984,0.173,0.095,21.772,-0.596,0.248,41.478,39.686
49,71.53061224,3.469387755,1.228888889,12.14285714,0.284763769,0.000308736,1501,4,27.298,0.177,0.101,11.851,-0.32,0.365,42.792,39.438
19,82.42105263,2.526315789,1.041428571,2.789473684,0.203460707,0.000157781,1801,4,24.997,0.171,0.099,9.296,-0.188,0.361,38.539,33.885
8,85.875,3.625,0.471666667,2.125,0.393150685,2.45E-05,2368,5,20.773,0.142,0.09,7.182,-0.309,0.615,29.897,29.352
5,28.4,1.8,1.57,1,0.545753425,3.61E-06,2238,5,21.75,0.144,0.103,15.501,0.044,0.099,33.96,15.039
8,59.25,2.125,1.848,1,0.559931507,5.86E-05,2446,6,20.128,0.14,0.09,17.843,-0.219,0.157,25.725,28.272
2,36.5,7.5,0.21,1,0.004109589,6.71E-06,2977,7,16.599,0.106,0.079,10.429,-0.665,0.105,30.076,27.252
3,50,2.666666667,0.685,1.666666667,0.250228311,1.19E-05,3046,7,16.171,0.105,0.08,9.424,-0.101,-0.432,31.908,18.199
8,60.125,3.375,1.96,1.25,0.382534247,2.37E-05,1494,4,27.328,0.175,0.112,16.831,-0.622,0.13,45.21,34.553
7,42.14285714,8.714285714,0.146666667,19.85714286,0.910763209,1.21E-05,1977,5,23.575,0.156,0.103,26.349,-0.098,0.728,20.289,24.443
2,33.5,15.5,0.39,1,0.354794521,5.38E-06,2467,6,19.956,0.146,0.093,18.12,-0.598,0.552,23.401,22.537
2,45,1.5,4.95,1,0.461643836,5.01E-06,2214,5,21.883,0.151,0.107,25.394,-0.487,0.231,29.127,16.629
6,57.66666667,1,0.495,2.333333333,0.351141553,1.17E-05,2442,6,20.161,0.117,0.089,18.316,-0.324,0.893,24.607,20.281
17,50.82352941,8.352941176,0.759285714,1.411764706,0.19081386,2.39E-05,1719,4,25.699,0.162,0.09,11.122,-0.252,1.158,38.502,23.356
14,64.78571429,3.857142857,1.31,1.428571429,0.075342466,0.00010384,1816,4,24.882,0.151,0.106,11.966,0.225,0.396,37.051,26
19,63.68421053,3.052631579,0.862142857,1.315789474,0.339149243,7.13E-05,2029,5,23.251,0.16,0.092,8.838,-0.561,0.489,39.099,30.759
7,66,2.285714286,0.2925,1.571428571,0.218395303,1.48E-05,2554,6,19.473,0.126,0.078,5.509,-0.541,0.537,39.568,19.876
